project_id,project_name,description,state,district,latitude,longitude,category,sanctioned_amount,actual_expenditure,start_date,completion_date,contractor,reported_progress,image_path
MPL-00062,Building of village community hall at Ganeshpur,Building of village community hall at Ganeshpur,Uttar Pradesh,Agra,27.311438,77.883654,Community Hall,1272286.43,1223449.22,2023-09-01,2024-03-05,Rajdhani Construction Co.,96.6,/static/demo_images/community_hall_placeholder.jpg
MPL-00186,Overhead water tank construction in Ganeshpur,Overhead water tank construction in Ganeshpur,Tamil Nadu,Salem,11.812345,78.066248,Drinking Water,1213117.63,1170927.91,2022-08-06,2022-12-12,Rajdhani Infra Ltd.,89.5,/static/demo_images/drinking_water_placeholder.jpg
MPL-00882,Building of village community hall at Anandpur,Building of village community hall at Anandpur,Tamil Nadu,Salem,11.643555,78.096122,Community Hall,1562010.9,1443229.55,2019-07-21,2020-01-23,Rapid Nation Builders,94.7,/static/demo_images/community_hall_placeholder.jpg
MPL-00431,Construction of public toilet complex in Shivnagar,Construction of public toilet complex in Shivnagar,Rajasthan,Udaipur,24.659704,73.817343,Sanitation,1070057.22,1045207.73,2024-11-17,2025-02-21,Om Builders,89.8,/static/demo_images/sanitation_placeholder.jpg
MPL-00772,Upgradation of health centre facilities in Bhagwanpur,Upgradation of health centre facilities in Bhagwanpur,West Bengal,Asansol,23.748867,86.971486,Healthcare Facility,2650884.69,2411430.62,2020-03-14,2020-10-18,Shree Builders,90.2,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00272,"Construction of additional classrooms at Government School, Nehrunagar","Construction of additional classrooms at Government School, Nehrunagar",Uttar Pradesh,Agra,27.032678,78.001497,School Infrastructure,1677121.19,1631548.7,2020-06-18,2020-11-09,Metro Engineering Works,95.8,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00730,Construction of concrete road from Chandpur to main highway,Construction of concrete road from Chandpur to main highway,West Bengal,Durgapur,23.546094,87.305269,Road Construction,2800170.1,2436601.13,2019-09-08,2019-09-14,Vishwakarma Infra Ltd.,96.3,/static/demo_images/road_construction_placeholder.jpg
MPL-00753,Construction of concrete road from Indranagar to main highway,Construction of concrete road from Indranagar to main highway,Bihar,Gaya,24.807195,85.095848,Road Construction,2753741.46,2755673.6,2020-04-25,2020-12-03,Sundar Engineering Works,97.9,/static/demo_images/road_construction_placeholder.jpg
MPL-00217,Installation of solar street lights in Gopalpur,Installation of solar street lights in Gopalpur,Rajasthan,Jaipur,26.765564,75.714922,Electrification,666405.74,635590.84,2023-12-31,2024-03-14,Skyline Engineering Works,90.9,/static/demo_images/electrification_placeholder.jpg
MPL-00899,Construction of dispensary building in Ramganj,Construction of dispensary building in Ramganj,Maharashtra,Nagpur,21.089021,79.107372,Healthcare Facility,3197308.03,2923925.34,2021-03-28,2021-10-05,Rapid Nation Builders,88.8,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00165,Construction of village public library in Saraswatipur,Construction of village public library in Saraswatipur,West Bengal,Howrah,22.733001,88.197302,Library,808649.25,839618.18,2021-04-29,2021-09-14,Modern Infra Ltd.,89.8,/static/demo_images/library_placeholder.jpg
MPL-00041,Installation of irrigation pump sets in Sundarpur,Installation of irrigation pump sets in Sundarpur,Bihar,Muzaffarpur,26.047259,85.495101,Irrigation,2007277.47,2027918.95,2022-07-23,2022-12-25,Cityscape Construction Co.,94.2,/static/demo_images/irrigation_placeholder.jpg
MPL-00262,Building of village community hall at Krishnapur,Building of village community hall at Krishnapur,Karnataka,Bengaluru,12.896066,77.551323,Community Hall,1670189.51,1645866.0,2021-12-01,2022-05-08,Sundar Infra Ltd.,85.5,/static/demo_images/community_hall_placeholder.jpg
MPL-00767,Construction of public toilet complex in Subhaspur,Construction of public toilet complex in Subhaspur,Uttar Pradesh,Lucknow,26.976432,80.837129,Sanitation,768463.64,758492.34,2020-05-25,2020-08-24,Apex Engineering Works,85.2,/static/demo_images/sanitation_placeholder.jpg
MPL-00872,Installation of solar street lights in Nehrunagar,Installation of solar street lights in Nehrunagar,Maharashtra,Nashik,19.856286,73.65415,Electrification,366237.62,319002.91,2022-08-15,2022-11-04,Rapid Nation Builders,97.9,/static/demo_images/electrification_placeholder.jpg
MPL-00363,Construction of link road connecting Gandhinagar,Construction of link road connecting Gandhinagar,Karnataka,Bengaluru,13.01167,77.526649,Road Construction,2952201.36,2851018.46,2023-03-31,2023-09-29,Skyline Infra Ltd.,93.8,/static/demo_images/road_construction_placeholder.jpg
MPL-00583,Construction of village public library in Anandpur,Construction of village public library in Anandpur,West Bengal,Siliguri,26.764472,88.532682,Library,1185936.16,1145185.79,2024-12-15,2025-03-23,Modern Construction Co.,91.4,/static/demo_images/library_placeholder.jpg
MPL-00564,Construction of open gymnasium in Tagorepur,Construction of open gymnasium in Tagorepur,Tamil Nadu,Chennai,13.005247,80.291771,Sports Infrastructure,769016.25,742582.65,2019-02-27,2019-07-13,Highway Engineering Works,88.3,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00815,Construction of Community Hall in Indranagar,Construction of Community Hall in Indranagar,Karnataka,Hubli,15.21796,75.223804,Community Hall,1919855.32,1968226.66,2024-08-17,2024-12-27,Shree Balaji Infra Pvt Ltd,89.6,/static/demo_images/community_hall_placeholder.jpg
MPL-00806,Construction of Primary Health Sub-Centre in Ganeshpur,Construction of Primary Health Sub-Centre in Ganeshpur,Karnataka,Hubli,15.311616,75.012261,Healthcare Facility,3418838.53,3147115.23,2024-07-17,2025-03-15,Shree Balaji Infra Pvt Ltd,91.4,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00351,Check dam construction for irrigation in Anandpur,Check dam construction for irrigation in Anandpur,West Bengal,Asansol,23.770537,86.811646,Irrigation,1437014.6,1284652.46,2022-04-23,2022-11-07,Bharat Infra Ltd.,89.5,/static/demo_images/irrigation_placeholder.jpg
MPL-00027,Installation of high-mast lighting in Bhagwanpur,Installation of high-mast lighting in Bhagwanpur,Tamil Nadu,Salem,11.704571,78.075195,Electrification,653119.11,673409.76,2023-10-01,2024-01-02,Vishwakarma Engineering Works,85.7,/static/demo_images/electrification_placeholder.jpg
MPL-00548,Repair and widening of village road in Indranagar,Repair and widening of village road in Indranagar,Rajasthan,Kota,25.122135,75.810127,Road Construction,2651171.21,2753719.66,2023-01-18,2023-06-24,Apex Infra Ltd.,87.2,/static/demo_images/road_construction_placeholder.jpg
MPL-00557,Development of sports ground with boundary wall in Chandpur,Development of sports ground with boundary wall in Chandpur,Tamil Nadu,Chennai,13.180747,80.32619,Sports Infrastructure,991179.54,978382.17,2022-12-11,2023-04-16,Bharat Infra Ltd.,85.2,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00500,Construction of community sanitation block in Rampur,Construction of community sanitation block in Rampur,Bihar,Muzaffarpur,26.250667,85.375246,Sanitation,894945.38,932848.59,2019-06-18,2019-09-23,United Construction Co.,98.8,/static/demo_images/sanitation_placeholder.jpg
MPL-00399,Construction of Community Hall in Lakshmipur,Construction of Community Hall in Lakshmipur,Rajasthan,Jodhpur,26.126412,72.944688,Community Hall,1277470.52,1275905.71,2023-06-15,2023-12-11,United Builders,86.4,/static/demo_images/community_hall_placeholder.jpg
MPL-00233,Overhead water tank construction in Narayanpur,Overhead water tank construction in Narayanpur,Rajasthan,Jodhpur,26.126966,73.134124,Drinking Water,679741.79,674493.48,2023-05-28,2023-10-09,Modern Infra Ltd.,87.1,/static/demo_images/drinking_water_placeholder.jpg
MPL-00653,Construction of Primary Health Sub-Centre in Saraswatipur,Construction of Primary Health Sub-Centre in Saraswatipur,West Bengal,Siliguri,26.814461,88.287942,Healthcare Facility,2974060.61,2556889.75,2021-06-02,2022-03-28,Sundar Engineering Works,97.3,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00167,Upgradation of health centre facilities in Sundarpur,Upgradation of health centre facilities in Sundarpur,Maharashtra,Aurangabad,20.012794,75.217009,Healthcare Facility,3810024.08,3738374.33,2022-01-15,2022-09-11,Progressive Engineering Works,95.4,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00083,Installation of irrigation pump sets in Narayanpur,Installation of irrigation pump sets in Narayanpur,West Bengal,Howrah,22.448619,88.35499,Irrigation,2852297.9,2811002.84,2022-11-16,2023-06-21,Ganga Infra Ltd.,94.6,/static/demo_images/irrigation_placeholder.jpg
MPL-00823,Drainage system construction in Saraswatipur,Drainage system construction in Saraswatipur,Karnataka,Hubli,15.475344,74.985222,Sanitation,532856.1,525649.11,2021-08-06,2021-12-02,Shree Balaji Infra Pvt Ltd,98.3,/static/demo_images/sanitation_placeholder.jpg
MPL-00595,Upgradation of health centre facilities in Balrampur,Upgradation of health centre facilities in Balrampur,West Bengal,Kolkata,22.515381,88.501445,Healthcare Facility,2407137.75,2437106.76,2023-12-18,2024-10-05,Apex Builders,85.1,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00366,Construction of link road connecting Saraswatipur,Construction of link road connecting Saraswatipur,Karnataka,Mysuru,12.289444,76.552611,Road Construction,1674741.77,1702664.74,2019-04-02,2019-11-12,Rajdhani Engineering Works,85.6,/static/demo_images/road_construction_placeholder.jpg
MPL-00438,Installation of high-mast lighting in Bhagwanpur,Installation of high-mast lighting in Bhagwanpur,Uttar Pradesh,Kanpur,26.461302,80.24304,Electrification,673959.53,607730.61,2024-06-01,2024-09-11,Bharat Infra Ltd.,95.4,/static/demo_images/electrification_placeholder.jpg
MPL-00816,"Construction of additional classrooms at Government School, Gopalpur","Construction of additional classrooms at Government School, Gopalpur",Karnataka,Hubli,15.296248,75.001581,School Infrastructure,1759608.5,1830370.46,2021-05-17,2021-09-29,Shree Balaji Infra Pvt Ltd,91.0,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00631,Check dam construction for irrigation in Gandhinagar,Check dam construction for irrigation in Gandhinagar,Karnataka,Hubli,15.220942,75.060403,Irrigation,1505182.47,1382915.71,2022-10-21,2023-05-11,Cityscape Engineering Works,87.0,/static/demo_images/irrigation_placeholder.jpg
MPL-00650,Check dam construction for irrigation in Ashoknagar,Check dam construction for irrigation in Ashoknagar,Kerala,Kozhikode,11.407754,75.837105,Irrigation,2940858.06,2930104.5,2023-09-04,2024-04-17,Sundar Construction Co.,87.2,/static/demo_images/irrigation_placeholder.jpg
MPL-00596,Construction of Primary Health Sub-Centre in Ramganj,Construction of Primary Health Sub-Centre in Ramganj,Rajasthan,Jaipur,27.043297,75.8643,Healthcare Facility,2243557.26,2292653.8,2020-10-18,2021-08-04,Cityscape Construction Co.,94.5,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00925,Upgradation of health centre facilities in Bhagwanpur,Upgradation of health centre facilities in Bhagwanpur,Rajasthan,Jodhpur,26.355308,72.892118,Healthcare Facility,2010583.27,2037429.53,2019-09-13,2020-04-10,SuperFast Construction Co.,88.5,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00552,Upgradation of health centre facilities in Balrampur,Upgradation of health centre facilities in Balrampur,Karnataka,Belagavi,15.71237,74.595574,Healthcare Facility,3586463.0,3266489.09,2024-03-13,2024-12-01,Rajdhani Construction Co.,85.4,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00961,Construction of open gymnasium in Tagorepur,Construction of open gymnasium in Tagorepur,Tamil Nadu,Coimbatore,10.95059,77.037702,Sports Infrastructure,915489.9,868487.45,2024-11-21,2025-04-22,SuperFast Construction Co.,93.7,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00070,Upgradation of health centre facilities in Subhaspur,Upgradation of health centre facilities in Subhaspur,Bihar,Gaya,24.88957,85.015229,Healthcare Facility,2637064.77,2407385.48,2022-08-17,2023-04-29,United Infra Ltd.,99.6,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00090,Installation of irrigation pump sets in Vijaynagar,Installation of irrigation pump sets in Vijaynagar,Maharashtra,Nashik,20.072203,73.718448,Irrigation,1863948.45,1822400.77,2023-03-02,2023-08-22,United Builders,95.1,/static/demo_images/irrigation_placeholder.jpg
MPL-00441,Construction of village public library in Balrampur,Construction of village public library in Balrampur,Bihar,Gaya,24.701425,85.000395,Library,952187.64,985771.29,2024-12-08,2025-04-09,Ganga Engineering Works,90.0,/static/demo_images/library_placeholder.jpg
MPL-00034,Construction of Community Centre in Fatehpur,Construction of Community Centre in Fatehpur,West Bengal,Howrah,22.457277,88.292571,Community Hall,1418530.67,1428865.57,2023-11-23,2024-07-04,Highway Builders,86.7,/static/demo_images/community_hall_placeholder.jpg
MPL-00074,Construction of irrigation canal near Saraswatipur,Construction of irrigation canal near Saraswatipur,Rajasthan,Jodhpur,26.225936,72.917693,Irrigation,1502159.7,1456907.92,2020-07-13,2021-01-15,National Construction Co.,89.1,/static/demo_images/irrigation_placeholder.jpg
MPL-00898,Construction of Primary Health Sub-Centre in Devipur,Construction of Primary Health Sub-Centre in Devipur,Maharashtra,Pune,18.512353,73.81309,Healthcare Facility,3529272.72,3449542.67,2023-09-27,2024-09-19,Rapid Nation Builders,91.0,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00562,Construction of public toilet complex in Sundarpur,Construction of public toilet complex in Sundarpur,Bihar,Patna,25.476445,85.225517,Sanitation,779435.43,671758.8,2020-05-02,2020-08-14,Vishwakarma Construction Co.,85.6,/static/demo_images/sanitation_placeholder.jpg
MPL-00893,Building of village community hall at Narayanpur,Building of village community hall at Narayanpur,Bihar,Muzaffarpur,26.077154,85.339959,Community Hall,1783721.76,1853381.98,2024-10-31,2025-04-26,Rapid Nation Builders,95.5,/static/demo_images/community_hall_placeholder.jpg
MPL-00214,Installation of irrigation pump sets in Ramganj,Installation of irrigation pump sets in Ramganj,Tamil Nadu,Salem,11.535048,78.250336,Irrigation,2650586.69,2609755.81,2020-07-24,2021-03-27,Ganga Infra Ltd.,88.6,/static/demo_images/irrigation_placeholder.jpg
MPL-00667,Borewell and handpump installation for Nehrunagar,Borewell and handpump installation for Nehrunagar,Maharashtra,Thane,19.069584,72.830974,Drinking Water,618828.82,235311.7,2023-05-28,2023-09-18,Progressive Construction Co.,86.2,/static/demo_images/drinking_water_placeholder.jpg
MPL-00229,Construction of open gymnasium in Vijaynagar,Construction of open gymnasium in Vijaynagar,West Bengal,Durgapur,23.617183,87.174383,Sports Infrastructure,1450878.27,1391784.95,2021-10-10,2022-02-26,Ganga Infra Ltd.,98.1,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00190,Construction of village playground in Tagorepur,Construction of village playground in Tagorepur,Maharashtra,Pune,18.385861,73.81985,Sports Infrastructure,1325466.39,1137130.22,2019-10-26,2020-03-17,Prime Construction Co.,97.1,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00949,Construction of village public library in Rampur,Construction of village public library in Rampur,Maharashtra,Aurangabad,19.908911,75.43571,Library,999716.53,1005889.53,2022-11-10,2023-02-06,SuperFast Construction Co.,99.1,/static/demo_images/library_placeholder.jpg
MPL-00711,Construction of village playground in Ashoknagar,Construction of village playground in Ashoknagar,Karnataka,Bengaluru,13.009002,77.724898,Sports Infrastructure,1094570.31,1024053.78,2022-08-17,2025-02-14,Sundar Infra Ltd.,85.2,/static/demo_images/sports_infrastructure_placeholder.jpg
MPL-00164,Rural electrification work in Subhaspur,Rural electrification work in Subhaspur,Kerala,Kochi,9.938843,76.211426,Electrification,463909.45,478951.64,2022-11-03,2023-01-01,Progressive Builders,90.3,/static/demo_images/electrification_placeholder.jpg
MPL-00490,Construction of public toilet complex in Nehrunagar,Construction of public toilet complex in Nehrunagar,Kerala,Thrissur,10.513918,76.191637,Sanitation,994050.0,921427.63,2021-07-13,2021-10-19,Sundar Engineering Works,91.4,/static/demo_images/sanitation_placeholder.jpg
MPL-00902,Installation of drinking water supply system in Balrampur,Installation of drinking water supply system in Balrampur,Rajasthan,Ajmer,26.587148,74.616176,Drinking Water,1084685.16,1055443.9,2022-05-23,2022-09-23,Rapid Nation Builders,96.8,/static/demo_images/drinking_water_placeholder.jpg
MPL-00207,Borewell and handpump installation for Ramganj,Borewell and handpump installation for Ramganj,Maharashtra,Pune,18.478375,73.78763,Drinking Water,586005.6,520067.29,2023-07-30,2023-11-05,United Builders,85.4,/static/demo_images/drinking_water_placeholder.jpg
MPL-00414,Setting up of reading room and library in Ganeshpur,Setting up of reading room and library in Ganeshpur,Bihar,Patna,25.675339,85.062217,Library,989927.29,977245.26,2022-10-18,2023-02-24,Om Engineering Works,85.9,/static/demo_images/library_placeholder.jpg
MPL-00944,Construction of Primary Health Sub-Centre in Saraswatipur,Construction of Primary Health Sub-Centre in Saraswatipur,West Bengal,Durgapur,23.438626,87.214249,Healthcare Facility,3678097.96,3608933.65,2021-08-11,2022-03-27,SuperFast Construction Co.,86.7,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00149,Construction of school boundary wall in Vijaynagar,Construction of school boundary wall in Vijaynagar,Karnataka,Bengaluru,13.090078,77.69838,School Infrastructure,1531089.56,1495891.98,2022-05-25,2022-10-10,Progressive Construction Co.,86.4,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00895,Construction of irrigation canal near Subhaspur,Construction of irrigation canal near Subhaspur,Maharashtra,Aurangabad,19.883156,75.280235,Irrigation,2200467.61,1941959.68,2022-04-22,2022-10-28,Rapid Nation Builders,85.2,/static/demo_images/irrigation_placeholder.jpg
MPL-00249,Construction of link road connecting Mahadevpur,Construction of link road connecting Mahadevpur,Rajasthan,Udaipur,24.61805,73.655287,Road Construction,2951725.72,2946210.82,2019-02-16,2019-10-20,Sundar Construction Co.,92.4,/static/demo_images/road_construction_placeholder.jpg
MPL-00783,Installation of solar street lights in Chandpur,Installation of solar street lights in Chandpur,Bihar,Gaya,24.678959,85.050884,Electrification,769776.91,772927.4,2023-01-20,2023-04-28,Highway Engineering Works,94.1,/static/demo_images/electrification_placeholder.jpg
MPL-00209,Construction of school boundary wall in Fatehpur,Construction of school boundary wall in Fatehpur,Kerala,Kochi,9.832075,76.23152,School Infrastructure,1329912.11,1210520.92,2023-11-16,2024-04-05,Vishwakarma Engineering Works,91.3,/static/demo_images/school_infrastructure_placeholder.jpg
MPL-00150,Construction of village public library in Fatehpur,Construction of village public library in Fatehpur,Tamil Nadu,Chennai,12.98406,80.308044,Library,1351800.8,1240309.57,2019-06-18,2019-10-03,Shree Engineering Works,86.2,/static/demo_images/library_placeholder.jpg
MPL-00777,Construction of concrete road from Shivnagar to main highway,Construction of concrete road from Shivnagar to main highway,Maharashtra,Thane,19.106137,72.931336,Road Construction,1350027.7,1332325.51,2023-10-26,2024-07-18,Shree Builders,91.5,/static/demo_images/road_construction_placeholder.jpg
MPL-00904,Construction of irrigation canal near Sundarpur,Construction of irrigation canal near Sundarpur,Bihar,Muzaffarpur,25.988908,85.489568,Irrigation,2374771.89,2176945.53,2020-02-03,2020-08-08,Rapid Nation Builders,97.3,/static/demo_images/irrigation_placeholder.jpg
MPL-00369,Renovation of panchayat library building in Subhaspur,Renovation of panchayat library building in Subhaspur,Tamil Nadu,Coimbatore,10.946156,77.023056,Library,848404.15,798088.72,2023-04-28,2023-08-05,Bharat Construction Co.,86.6,/static/demo_images/library_placeholder.jpg
MPL-00463,Construction of dispensary building in Gopalpur,Construction of dispensary building in Gopalpur,Kerala,Thrissur,10.631939,76.142298,Healthcare Facility,2937856.72,2863378.61,2024-07-26,2025-05-06,Highway Infra Ltd.,95.9,/static/demo_images/healthcare_facility_placeholder.jpg
MPL-00727,Construction of village public library in Vijaynagar,Construction of village public library in Vijaynagar,Maharashtra,Nagpur,21.076506,79.001058,Library,1213461.23,1201086.11,2024-07-07,2028-02-24,Shree Construction Co.,86.5,/static/demo_images/library_placeholder.jpg
